Mac Prefix,Vendor Name
00:50:C2:B6:7,RC Systems Co. Inc.
00:50:C2:B6:8,"Electronic Systems Protection, Inc."
00:50:C2:B6:9,Thetis S.p.A.
00:50:C2:B6:A,Phytec Messtechnik GmbH
00:50:C2:B6:B,Phytec Messtechnik GmbH
00:50:C2:B6:C,Drinelec
00:50:C2:B6:D,Sound Metrics Corp
00:50:C2:B6:E,Private
00:50:C2:B6:F,CT Company
00:50:C2:B7:0,"Nisshin Electronics co.,ltd."
00:50:C2:B7:1,Digitale Analoge COMponenten West Electronic Vertriebs GmbH
00:50:C2:B7:2,Advanced Desktop Systems Ltd
00:50:C2:B7:3,"ARKRAY, Inc. Kyoto Laboratory"
00:50:C2:B7:4,AXED Jakubowski Wojciechowski sp.j.
00:50:C2:B7:5,Blankom
00:50:C2:B7:6,ITF Fröschl GmbH
00:50:C2:B7:7,KRISTECH
00:50:C2:B7:8,Folink
00:50:C2:B7:9,MITSUYA LABORATORIES INC.
00:50:C2:B7:A,Schnoor Industrieelektronik GmbH & Co. KG
00:50:C2:B7:B,QUARTECH CORPORATION
00:50:C2:B7:C,Bettini srl
00:50:C2:B7:D,ELETECH Srl
00:50:C2:B7:E,NARETRENDS
00:50:C2:B7:F,Enatel
00:50:C2:B8:0,iScreen LLC
00:50:C2:B8:1,GHL Advanced Technolgy GmbH & Co. KG
00:50:C2:B8:2,TANABIKI Inc.
00:50:C2:B8:3,"Advanced Storage Concepts, Inc."
00:50:C2:B8:4,Innovate Software Solutions Pvt Ltd
00:50:C2:B8:5,SilverNet
00:50:C2:B8:6,ASTO
00:50:C2:B8:7,"EMAC, Inc."
00:50:C2:B8:8,Gigatronik  Köln GmbH
00:50:C2:B8:9,"ENTEC Electric & Electronic Co., LTD."
00:50:C2:B8:A,MicroPoise
00:50:C2:B8:B,FBB
00:50:C2:B8:C,Keith & Koep GmbH
00:50:C2:B8:D,CEMSI
00:50:C2:B8:E,WAC (Israel) Ltd.
00:50:C2:B8:F,Gentec
00:50:C2:B9:0,"NAONWORKS Co., Ltd"
00:50:C2:B9:1,Finnet-Service Ltd.
00:50:C2:B9:2,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:C2:B9:3,EMC PARTNER AG
00:50:C2:B9:4,Tritech International Ltd
00:50:C2:B9:5,Rx Monitoring Services
00:50:C2:B9:6,Onix Electronic Systems Inc
00:50:C2:B9:7,ikerlan
00:50:C2:B9:8,Southwest Research Institute
00:50:C2:B9:9,Greenlight Innovation Corp.
00:50:C2:B9:A,"Talo, NV Inc"
00:50:C2:B9:B,Telventy Energia S.A.
00:50:C2:B9:C,DAVE SRL
00:50:C2:B9:D,W. Vershoven GmbH
00:50:C2:B9:E,Saia-Burgess Controls AG
00:50:C2:B9:F,AUDIOSCOPE 2K SRL
00:50:C2:BA:0,txtr GmbH
00:50:C2:BA:1,Transtechnik GmbH & Co.KG
00:50:C2:BA:2,Logical Tools s.r.l.
00:50:C2:BA:3,DSP DESIGN LTD
00:50:C2:BA:4,CUSTOS MOBILE S.L.
00:50:C2:BA:5,InterCel Pty Ltd
00:50:C2:BA:6,Jomitek
00:50:C2:BA:7,RaumComputer Entwicklungs- und Vertriebs GmbH
00:50:C2:BA:8,Peek Traffic Corporation
00:50:C2:BA:9,SISS Technology Inc.
00:50:C2:BA:A,"NetworkFX Communications, LLC"
00:50:C2:BA:B,iDeal Teknoloji Bilisim Cozumleri A.S.
00:50:C2:BA:C,VITECO VNPT JSC
00:50:C2:BA:D,Prediktor AS
00:50:C2:BA:E,Fiber Connections Inc.
00:50:C2:BA:F,MangoDSP
00:50:C2:BB:0,Gainbrain
00:50:C2:BB:1,Pro4tech
00:50:C2:BB:2,St Michael Strategies Inc
00:50:C2:BB:3,ClimateWell AB (publ)
00:50:C2:BB:4,JSC Electrical Equipment Factory
00:50:C2:BB:5,MROAD INFORMATION SYSTEM
00:50:C2:BB:6,Quarch Technology Ltd
00:50:C2:BB:7,GD Mission Systems
00:50:C2:BB:8,MoeTronix
00:50:C2:BB:9,"Toptech Systems, Inc."
00:50:C2:BB:A,Systemteq Limited
00:50:C2:BB:B,GHL Systems Berhad
00:50:C2:BB:C,ImpactSystems
00:50:C2:BB:D,ITS Telecom
00:50:C2:BB:E,Onlinepizza Norden AB
00:50:C2:BB:F,Phytec Messtechnik GmbH
00:50:C2:BC:0,Galaxia Electronics
00:50:C2:BC:1,Sentec Ltd
00:50:C2:BC:2,Xslent Energy Technologies. LLC
00:50:C2:BC:3,Phytec Messtechnik GmbH
00:50:C2:BC:4,Wheatstone Corporation
00:50:C2:BC:5,Toptechnology SRL
00:50:C2:BC:6,MireroTack
00:50:C2:BC:7,PTS GmbH
00:50:C2:BC:8,AGWTech Ltd
00:50:C2:BC:9,Nextmove Technologies
00:50:C2:BC:A,"Aitecsystem Co.,Ltd."
00:50:C2:BC:B,ARTEIXO TELECOM
00:50:C2:BC:C,VVDN TECHNOLOGIES PVT. LTD.
00:50:C2:BC:D,Highlight Parking Systems Ltd
00:50:C2:BC:E,"TV Portal Co., Ltd."
00:50:C2:BC:F,"Epiko, elektronski sistemi d.o.o."
00:50:C2:BD:0,EDC wifi
00:50:C2:BD:1,Ariem Technologies Pvt Ltd
00:50:C2:BD:2,Percello Ltd.
00:50:C2:BD:3,Postjet Systems Ltd
00:50:C2:BD:4,Global Security Devices
00:50:C2:BD:5,RF-Embedded GmbH
00:50:C2:BD:6,"BG Systems, Inc."
00:50:C2:BD:7,SLAT
00:50:C2:BD:8,b.a.b-technologie gmbh
00:50:C2:BD:9,"AMS Controls, Inc."
00:50:C2:BD:A,Digital Lumens
00:50:C2:BD:B,GasTOPS Ltd.
00:50:C2:BD:C,SS Systems LLC
00:50:C2:BD:E,Evo-Teh d.o.o.
00:50:C2:BD:F,Euro-Konsult Sp. z o.o.
00:50:C2:BE:0,Phaedrus Limited
00:50:C2:BE:1,Tattile srl
00:50:C2:BE:2,Convergent Bioscience Ltd.
00:50:C2:BE:3,Jiskoot Ltd
00:50:C2:BE:4,Grupo Epelsa S.L.
00:50:C2:BE:5,RF Code
00:50:C2:BE:6,Docobo Ltd
00:50:C2:BE:7,Genetec Inc.
00:50:C2:BE:8,"VEHICLE TESTING EQUIPMENT, S.L."
00:50:C2:BE:9,ZUCCHETTI SPA
00:50:C2:BE:A,Daeyoung inc.
00:50:C2:BE:B,Peek Traffic Corporation
00:50:C2:BE:C,DRS Laruel Technologies
00:50:C2:BE:D,Touch Revolution Inc.
00:50:C2:BE:E,Private
00:50:C2:BE:F,"SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, S.A. (SICE)"
00:50:C2:BF:0,AIM
00:50:C2:BF:1,Amatic Industries GmbH
00:50:C2:BF:2,Saia-Burgess Controls AG
00:50:C2:BF:3,Wanco Inc.
00:50:C2:BF:4,Monarch Innovative Technologies Pvt Ltd
00:50:C2:BF:5,"AILES ELECTRONICS CO., LTD."
00:50:C2:BF:6,NOLAM EMBEDDED SYSTEMS
00:50:C2:BF:7,Phytec Messtechnik GmbH
00:50:C2:BF:8,Crtiical Link
00:50:C2:BF:9,Vitel Net
00:50:C2:BF:A,Rohde&Schwarz Topex SA
00:50:C2:BF:B,ECS Srl
00:50:C2:BF:C,Altronix Corporation
00:50:C2:BF:D,Ernemann Cine Tec GmbH
00:50:C2:BF:E,Ingeteam Paneles S.A.U.
00:50:C2:BF:F,I.S.A. S.r.l.
00:50:C2:C0:0,ACD Elektronik GmbH
00:50:C2:C0:1,"QUERCUS TECHNOLOGIES, S.L."
00:50:C2:C0:2,Hanning Elektro-Werke GmbH & Co. KG
00:50:C2:C0:3,Volumatic Limited.
00:50:C2:C0:4,SoGEME
00:50:C2:C0:5,Doppler Systems LLC
00:50:C2:C0:6,ANALOG WAY
00:50:C2:C0:7,CIO Informatique Industrielle
00:50:C2:C0:8,juiceboss
00:50:C2:C0:9,Globe Wireless
00:50:C2:C0:A,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:C2:C0:B,ProSourcing GmbH
00:50:C2:C0:C,Altierre
00:50:C2:C0:D,Fr. SauterAG
00:50:C2:C0:E,AVItronic GmbH
00:50:C2:C0:F,"DYCEC, S.A."
00:50:C2:C1:0,Keith & Koep GmbH
00:50:C2:C1:1,ART Antriebs- und Regeltechnik GmbH
00:50:C2:C1:2,"OKI DENKI BOHSAI CO.,LTD."
00:50:C2:C1:3,Dantec Dynamics A/S
00:50:C2:C1:4,Spectronix Corporation
00:50:C2:C1:5,INO - Institut National d'Optique
00:50:C2:C1:6,OMICRON electronics GmbH
00:50:C2:C1:7,Axis-Shield PoC AS
00:50:C2:C1:8,"Linuxstamp Designs, LLC"
00:50:C2:C1:9,Ibercomp SA
00:50:C2:C1:A,"SAM Co., Ltd."
00:50:C2:C1:B,Graesslin GmbH
00:50:C2:C1:C,Becton Dickinson
00:50:C2:C1:D,Powerbase Energy Systems Inc.
00:50:C2:C1:E,Peperoni-Light
00:50:C2:C1:F,Specialist Electronics Services Ltd
00:50:C2:C2:0,"SRC Computers, LLC"
00:50:C2:C2:1,Private
00:50:C2:C2:2,Audient Ltd
00:50:C2:C2:3,Vidicon LLC
00:50:C2:C2:4,Qualnetics Corporation
00:50:C2:C2:5,Private
00:50:C2:C2:6,Austco Marketing & Service (USA) ltd.
00:50:C2:C2:7,Qtechnology A/S
00:50:C2:C2:8,ELREHA GmbH
00:50:C2:C2:9,Newtel Engineering S.r.l.
00:50:C2:C2:A,RealTime Systems Ltd
00:50:C2:C2:B,"Z-App Systems, Inc."
00:50:C2:C2:C,bach-messtechnik gmbh
00:50:C2:C2:D,Digitale Analoge COMponenten West Electronic Vertriebs GmbH
00:50:C2:C2:E,DISMUNTEL SAL
00:50:C2:C2:F,REFLEX CES
00:50:C2:C3:0,Wagner Group GmbH
00:50:C2:C3:1,4D Technology Corporation
00:50:C2:C3:2,Procon Electronics
00:50:C2:C3:4,Kyuhen
00:50:C2:C3:5,"Insitu, Inc"
00:50:C2:C3:6,SET GmbH
00:50:C2:C3:7,"B.E.A.R. Solutions (Australasia) Pty, Ltd"
00:50:C2:C3:8,Computer Automation Technology Inc
00:50:C2:C3:9,SECAD SA
00:50:C2:C3:A,Sicon srl
00:50:C2:C3:B,ELEKTRO-AUTOMATIK GmbH & Co. KG
00:50:C2:C3:C,ELSIST S.r.l.
00:50:C2:C3:D,PLA ELECTRO APPLIANCES PVT. LTD.
00:50:C2:C3:E,Sysacom
00:50:C2:C3:F,ANXeBusiness Corporation
00:50:C2:C4:0,BAE Systems Bofors AB
00:50:C2:C4:1,COMPRION GmbH
00:50:C2:C4:2,Saia-Burgess Controls AG
00:50:C2:C4:3,Cammegh Limited
00:50:C2:C4:4,"Beijing Zhongherongzhi Elec.&Tech.Co.,Ltd."
00:50:C2:C4:5,Galvamat & Unican Technologies SA
00:50:C2:C4:6,QNE GmbH & Co. KG
00:50:C2:C4:7,Weltek Technologies Co. Ltd.
00:50:C2:C4:8,"Cytek Media Systems, INC."
00:50:C2:C4:9,Elektronic Thoma GmbH
00:50:C2:C4:A,"Herrick Technology Laboratories, Inc."
00:50:C2:C4:B,R.V.R. elettronica s.p.a.
00:50:C2:C4:C,Lancier Monitoring GmbH
00:50:C2:C4:D,Industrial Automation Systems
00:50:C2:C4:E,Elaso AG
00:50:C2:C4:F,Powersense A/S
00:50:C2:C5:0,"Beceem Communications, Inc."
00:50:C2:C5:1,"InForce Computing, Inc."
00:50:C2:C5:2,"Smartfield, Inc."
00:50:C2:C5:3,Eilersen Electric A/S
00:50:C2:C5:4,HPC Platform
00:50:C2:C5:5,Watterott electronic
00:50:C2:C5:6,Spirent Communications
00:50:C2:C5:7,"High Speed Design, Inc."
00:50:C2:C5:8,Foerster-Technik GmbH
00:50:C2:C5:9,SKD System AB
00:50:C2:C5:A,Commotive A/S
00:50:C2:C5:B,MICRO TECHNICA
00:50:C2:C5:C,WAVECOM ELEKTRONIK AG
00:50:C2:C5:D,SweMet AB
00:50:C2:C5:E,"CellPlus technologies, Inc."
00:50:C2:C5:F,Icon Time Systems
00:50:C2:C6:0,Integration Technologies Limited
00:50:C2:C6:1,HaiVision Systems Incorporated
00:50:C2:C6:2,Zeus Systems Private Limited
00:50:C2:C6:3,Potter Electric Signal Co. LLC
00:50:C2:C6:4,"Pal Software Service Co.,Ltd."
00:50:C2:C6:5,"Micro I/O Servicos de Electronica, Lda"
00:50:C2:C6:6,KS Beschallungstechnik GmbH
00:50:C2:C6:7,Practical Control Ltd
00:50:C2:C6:8,"Broadsoft PacketSmart, Inc."
00:50:C2:C6:9,"REBO CO.,LTD."
00:50:C2:C6:A,ELECTRONICA KELD
00:50:C2:C6:B,SiGarden Sp z o.o.
00:50:C2:C6:C,DORLET SAU
00:50:C2:C6:D,"Deansoft CO., Ltd."
00:50:C2:C6:E,TBS Holding AG
00:50:C2:C6:F,MSB Elektronik und Geraetebau GmbH
00:50:C2:C7:0,Wilke Technology GmbH
00:50:C2:C7:1,Sequoia Technology Group Ltd
00:50:C2:C7:2,Quail
00:50:C2:C7:3,"Industry Controls, Inc."
00:50:C2:C7:4,Wapice Ltd.
00:50:C2:C7:5,Rovsing A/S
00:50:C2:C7:6,GridManager A/S
00:50:C2:C7:7,"AIM Co.,Ltd"
00:50:C2:C7:8,9Solutions Oy
00:50:C2:C7:9,"CODESYSTEM Co.,Ltd"
00:50:C2:C7:A,Protonic Holland
00:50:C2:C7:B,Honeywell
00:50:C2:C7:C,Keysight Technologies Inc.
00:50:C2:C7:D,TAE Antriebstechnik GmbH
00:50:C2:C7:E,Buerkert Werke GmbH
00:50:C2:C7:F,Kinects Solutions Inc
00:50:C2:C8:0,Reko-vek
00:50:C2:C8:1,Odyssee Systemes SAS
00:50:C2:C8:2,Kyosha Industries
00:50:C2:C8:3,Gronic Systems GmbH
00:50:C2:C8:4,DOMIS
00:50:C2:C8:5,Peek Traffic Corporation
00:50:C2:C8:6,Bruckner & Jarosch Ingenieurgesellschaft mbH
00:50:C2:C8:7,LECO Corporation
00:50:C2:C8:8,CSI Controles e Sistemas Industriais Ltda.
00:50:C2:C8:9,Creative Micro Design
00:50:C2:C8:A,"Automated Media Services, Inc."
00:50:C2:C8:B,OCAS AS
00:50:C2:C8:C,Lanmark Controls Inc.
00:50:C2:C8:D,Emergency Message Controls LLC
00:50:C2:C8:E,SDD ITG
00:50:C2:C8:F,Keith & Koep GmbH
00:50:C2:C9:0,"RealD, Inc."
00:50:C2:C9:1,Media Technologies Ltd.
00:50:C2:C9:2,"EMAC, Inc."
00:50:C2:C9:3,SENSAIR Pty Ltd
00:50:C2:C9:4,"ISIS ENGINEERING, S.A."
00:50:C2:C9:5,IPSES S.r.l.
00:50:C2:C9:6,CyberCraft
00:50:C2:C9:7,"MSTRONIC CO., LTD."
00:50:C2:C9:8,"Criticare Systems, Inc"
00:50:C2:C9:9,HJPC Corporation dba Pactron
00:50:C2:C9:A,PACOMP Sp. z o.o.
00:50:C2:C9:B,Sm electronic co.
00:50:C2:C9:C,Saia-Burgess Controls AG
00:50:C2:C9:D,Radius Sweden AB
00:50:C2:C9:E,Rohde&Schwarz Topex SA
00:50:C2:C9:F,xxter b.v.
00:50:C2:CA:0,Kiefer technic GmbH
00:50:C2:CA:1,Wayne Kerr Electronics
00:50:C2:CA:2,The Logical Company
00:50:C2:CA:3,CT Company
00:50:C2:CA:4,Vox Technologies
00:50:C2:CA:5,"YOKOWO CO.,LTD"
00:50:C2:CA:6,Vidisys GmbH
00:50:C2:CA:7,Thermo Fisher Scientific
00:50:C2:CA:8,Systems With Intelligence Inc.
00:50:C2:CA:9,Intelligent Devices
00:50:C2:CA:A,DSP DESIGN LTD
00:50:C2:CA:B,SAE IT-systems GmbH & Co. KG
00:50:C2:CA:C,PURVIS Systems Incorporated
00:50:C2:CA:D,Pacific Coast Engineering
00:50:C2:CA:E,Campbell Scientific Canada Corp.
00:50:C2:CA:F,Fr. Sauter AG
00:50:C2:CB:0,Konsmetal S.A.
00:50:C2:CB:1,ZK Celltest Inc
00:50:C2:CB:2,Moravian Instruments
00:50:C2:CB:3,DEUTA-WERKE GmbH
00:50:C2:CB:4,GEA Farm Technologies GmbH
00:50:C2:CB:5,Private
00:50:C2:CB:6,Krontek Pty Ltd
00:50:C2:CB:7,inotech GmbH
00:50:C2:CB:8,Raith GmbH
00:50:C2:CB:9,Micro Technic A/S
00:50:C2:CB:A,"DELTA TAU DATA SYSTEMS, INC."
00:50:C2:CB:B,Coptonix GmbH
00:50:C2:CB:C,CP ELETRONICA SA
00:50:C2:CB:D,Hi Tech Electronics Ltd
00:50:C2:CB:E,CODE BLUE CORPORATION
00:50:C2:CB:F,Megacon AB
00:50:C2:CC:0,World Time Solutions Limited
00:50:C2:CC:1,Level 3 Communications
00:50:C2:CC:2,ConectaIP Tecnologia S.L.
00:50:C2:CC:3,viscount systems inc.
00:50:C2:CC:4,GD Mission Systems
00:50:C2:CC:5,Tecnovum AG
00:50:C2:CC:6,KDT
00:50:C2:CC:7,TOPROOTTechnology Corp. Ltd.
00:50:C2:CC:8,Private
00:50:C2:CC:9,Promess GmbH
00:50:C2:CC:A,SANMINA SHENZHEN
00:50:C2:CC:B,CaptiveAire Systems Inc.
00:50:C2:CC:C,Smartech-technology
00:50:C2:CC:D,"FUJI DATA SYSTEM Co.,Ltd."
00:50:C2:CC:E,Mac-Gray Corporation
00:50:C2:CC:F,TASK SISTEMAS DE COMPUTACAO LTDA
00:50:C2:CD:0,MME Mueller Mikroelektronik
00:50:C2:CD:1,ACD Elektronik GmbH
00:50:C2:CD:2,SIM2 Multimedia S.p.A.
00:50:C2:CD:3,Covidence A/S
00:50:C2:CD:4,SCHRAML GmbH
00:50:C2:CD:5,Arcos Technologies Ltd.
00:50:C2:CD:6,Arktan Systems
00:50:C2:CD:7,Saia-Burgess Controls AG
00:50:C2:CD:8,IT-IS International Ltd.
00:50:C2:CD:9,"NDC Infrared Engineering, Inc."
00:50:C2:CD:A,taskit GmbH
00:50:C2:CD:B,RUTTER INC
00:50:C2:CD:C,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:C2:CD:D,K.C.C. SHOKAI LIMITED
00:50:C2:CD:E,Axotec Technologies GmbH
00:50:C2:CD:F,CoreEL TEchnologies (I) Pvt Ltd
00:50:C2:CE:0,"Industrial Control Links, Inc."
00:50:C2:CE:1,Satellink Inc.
00:50:C2:CE:2,Sicon srl
00:50:C2:CE:3,Industrial Automatics Design Bureau
00:50:C2:CE:4,TEKTRONIK
00:50:C2:CE:5,"Maretron, LLP"
00:50:C2:CE:6,APLICA TECHNOLOGIES
00:50:C2:CE:7,Echola Systems
00:50:C2:CE:8,Thomas & Betts
00:50:C2:CE:9,Private
00:50:C2:CE:A,Keith & Koep GmbH
00:50:C2:CE:B,Toyon Research Corporation
00:50:C2:CE:C,Erhardt+Leimer GmbH
00:50:C2:CE:D,"AeroMechanical Services Ltd, FLYHT"
00:50:C2:CE:E,EMBED-IT OG
00:50:C2:CE:F,Lupatecnologia e Sistemas Ltda
00:50:C2:CF:0,Inviso B.V.
00:50:C2:CF:1,"TelGaAs, Inc."
00:50:C2:CF:2,Weiss Robotics GmbH & Co. KG
00:50:C2:CF:3,Daiken Automacao Ltda
00:50:C2:CF:4,Baudisch Electronic GmbH
00:50:C2:CF:5,Gogo BA
00:50:C2:CF:6,Epec Oy
00:50:C2:CF:7,Armour Home Electronics LTD
00:50:C2:CF:8,beks Kommunikacios Technika kft
00:50:C2:CF:9,Elbit Systems of America
00:50:C2:CF:A,Grupo Epelsa S.L.
00:50:C2:CF:B,New Embedded Technology
00:50:C2:CF:C,Tritium Pty Ltd
00:50:C2:CF:D,"AIRFOLC,INC."
00:50:C2:CF:E,Techleader
00:50:C2:CF:F,"Infrasafe, Inc."
00:50:C2:D0:0,Bodensee Gravitymeter Geosystem GmbH
00:50:C2:D0:1,Aanderaa Data Instruments
00:50:C2:D0:2,SURVALENT TECHNOLOGY CORP
00:50:C2:D0:3,Peekel Instruments B.V.
00:50:C2:D0:4,Tehama Wireless
00:50:C2:D0:5,PRIVATE
00:50:C2:D0:6,nCk Research LLC
00:50:C2:D0:7,IAF GmbH
00:50:C2:D0:8,Reimesch Kommunikationssysteme GmbH
00:50:C2:D0:9,"Guardtec,Inc"
00:50:C2:D0:A,"Airpoint Co., Ltd."
00:50:C2:D0:B,CODACO ELECTRONIC s.r.o.
00:50:C2:D0:C,JVL Industri Elektronik
00:50:C2:D0:D,DECA Card Engineering GmbH
00:50:C2:D0:E,Weinert Engineering GmbH
00:50:C2:D0:F,Saia-Burgess Controls AG
00:50:C2:D1:0,Rosslare Enterprises Ltd.
00:50:C2:D1:1,Aplex Technology Inc.
00:50:C2:D1:2,"Tokyo Weld Co.,Ltd."
00:50:C2:D1:3,GUNMA ELECTRONICS CO LTD
00:50:C2:D1:4,SAET I.S.
00:50:C2:D1:5,MSR-Office GmbH
00:50:C2:D1:6,"Imricor Medical Systems, Inc."
00:50:C2:D1:7,"CUE, a.s."
00:50:C2:D1:8,Glyn GmbH & Co.KG
00:50:C2:D1:9,"Applied Medical Technologies, Inc DBA AirClean Systems"
00:50:C2:D1:A,GILLAM-FEI S.A.
00:50:C2:D1:B,TECHKON GmbH
00:50:C2:D1:C,"Recon Dynamics, LLC"
00:50:C2:D1:D,Moco Media Pty Ltd
00:50:C2:D1:E,"Tobila Systems, Inc."
00:50:C2:D1:F,Olympus NDT Canada
00:50:C2:D2:0,7+ Kft
00:50:C2:D2:1,Innovative Circuit Technology
00:50:C2:D2:2,"eMDee Technology, Inc."
00:50:C2:D2:3,Bluestone Technology GmbH
00:50:C2:D2:4,Expro North Sea
00:50:C2:D2:5,VAF Instruments BV
00:50:C2:D2:6,RCH GROUP
00:50:C2:D2:7,Fr.Sauter AG
00:50:C2:D2:8,Digitale Analoge COMponenten West Electronic Vertriebs GmbH
00:50:C2:D2:9,Axible Technologies
00:50:C2:D2:A,Millennium Electronics Pty.Ltd.
00:50:C2:D2:B,"Video Tech Laboratories, Inc."
00:50:C2:D2:C,Schneider Electric Motion USA
00:50:C2:D2:D,Cadi Scientific Pte Ltd
00:50:C2:D2:E,RS Gesellschaft fur Informationstechnik mbH & Co KG
00:50:C2:D2:F,"Key Systems, Inc."
00:50:C2:D3:0,"ACTIV Financial Systems, Inc."
00:50:C2:D3:1,UNGAVA Technologies Inc.
00:50:C2:D3:2,RealTime Systems Ltd
00:50:C2:D3:3,Maddalena S.p.A
00:50:C2:D3:4,GAON TECH corp.
00:50:C2:D3:5,UG Systems GmbH & Co. KG
00:50:C2:D3:6,Enatel Limited
00:50:C2:D3:7,"LJT & Associates, Inc."
00:50:C2:D3:8,"Kyowa Electronics Co.,Ltd."
00:50:C2:D3:9,Apex NV
00:50:C2:D3:A,WellSense Technologies
00:50:C2:D3:B,Gitsn Inc.
00:50:C2:D3:C,ASSYSTEM France
00:50:C2:D3:D,Tellabs Operations Inc.
00:50:C2:D3:E,Synatec Electronic GmbH
00:50:C2:D3:F,Communication Systems Solutions
00:50:C2:D4:0,demmel products
00:50:C2:D4:1,"AREA ENERGY, INC."
00:50:C2:D4:2,Hagenuk KMT GmbH
00:50:C2:D4:3,DSP4YOU LTd
00:50:C2:D4:4,Saia-Burgess Controls AG
00:50:C2:D4:5,Technagon GmbH
00:50:C2:D4:6,Thales Nederland BV
00:50:C2:D4:7,Rohde&Schwarz Topex SA
00:50:C2:D4:8,"Watermark Estate Management Services, LLC"
00:50:C2:D4:9,"Smith Meter, Inc"
00:50:C2:D4:A,ATH system
00:50:C2:D4:B,Indra Australia
00:50:C2:D4:C,DALOG Diagnosesysteme GmbH
00:50:C2:D4:D,Yardney Technical Products Inc.
00:50:C2:D4:E,Keith & Koep GmbH
00:50:C2:D4:F,SECOM GmbH
00:50:C2:D5:0,"Solbrig Electronics, Inc."
00:50:C2:D5:1,BETTINI SRL
00:50:C2:D5:2,F+D Feinwerk- und Drucktechnik GmbH
00:50:C2:D5:3,Telemerkki Oy
00:50:C2:D5:4,ABtrack s.r.l.
00:50:C2:D5:5,Sterna Security
00:50:C2:D5:6,SELEX Communications Limited
00:50:C2:D5:7,Hijikata Denki Corp.
00:50:C2:D5:8,NIK-ELEKTRONIKA Ltd
00:50:C2:D5:9,BUANCO SYSTEM A/S
00:50:C2:D5:A,Embedded Monitoring Systems Ltd.
00:50:C2:D5:B,Infinition Inc.
00:50:C2:D5:C,Ibetor S.L.
00:50:C2:D5:D,GLOBALCOM ENGINEERING SRL
00:50:C2:D5:E,PRIVATECH Inc.
00:50:C2:D5:F,"Embedded Solution Bank Co., Ltd."
00:50:C2:D6:0,"Nihon Kessho Koogaku Co., Ltd."
00:50:C2:D6:1,system2 GmbH
00:50:C2:D6:2,"EMAC, Inc."
00:50:C2:D6:3,DATAREGIS S.A.
00:50:C2:D6:4,TV1 GmbH
00:50:C2:D6:5,TX Technology Corp
00:50:C2:D6:6,Uvax Concepts
00:50:C2:D6:7,KLING & FREITAG GmbH
00:50:C2:D6:8,"HiSpeed Data, Inc."
00:50:C2:D6:9,GHL Systems Bhd
00:50:C2:D6:A,"A&T Corporation, Electrics Group , LAS R&D Unit,"
00:50:C2:D6:B,Nemec Automation
00:50:C2:D6:C,ALPHA Corporation
00:50:C2:D6:D,Pro-Digital Industria Eletronica
00:50:C2:D6:E,"BC Illumination, Inc."
00:50:C2:D6:F,Imtron Messtechnik GmbH
00:50:C2:D7:0,C. Rob. Hammerstein GmbH & Co. KG
00:50:C2:D7:1,"EMAC, Inc."
00:50:C2:D7:2,"Scale-Tron, Inc."
00:50:C2:D7:3,Saia-Burgess Controls AG
00:50:C2:D7:4,Computech International
00:50:C2:D7:5,Collectric AB
00:50:C2:D7:6,Telvent
00:50:C2:D7:7,Fr.SauterAG
00:50:C2:D7:8,P4Q Electronics
00:50:C2:D7:9,"DSI RF Systems, Inc."
00:50:C2:D7:A,Transbit Sp. z o.o.
00:50:C2:D7:B,OWITA GmbH
00:50:C2:D7:C,Microcubs Systems Pvt Ltd
00:50:C2:D7:D,Voltech Instruments
00:50:C2:D7:E,LYNX Technik AG
00:50:C2:D7:F,HMI Technologies
00:50:C2:D8:0,Keith & Koep GmbH
00:50:C2:D8:1,Tattile srl
00:50:C2:D8:2,Audio Authority Corp
00:50:C2:D8:3,Blankom
00:50:C2:D8:4,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:C2:D8:5,VITEC
00:50:C2:D8:6,ECOMM ERA
00:50:C2:D8:7,Electrolight Shivuk (1994) Ltd.
00:50:C2:D8:8,T+A elektroakustik GmbH & Co.KG
00:50:C2:D8:9,"Visual Telecommunication Network, Inc"
00:50:C2:D8:A,OptoLink  Industria e Comercio Ltda
00:50:C2:D8:B,Sicon srl
00:50:C2:D8:C,iRphotonics
00:50:C2:D8:D,CS-Instruments
00:50:C2:D8:E,"LSD Science&Technology Co.,Ltd."
00:50:C2:D8:F,Syes srl
00:50:C2:D9:0,Dumps Electronic
00:50:C2:D9:1,CHAUVIN ARNOUX
00:50:C2:D9:2,Manz
00:50:C2:D9:3,Axlon AB
00:50:C2:D9:4,"Software Effect Enterprises, Inc"
00:50:C2:D9:5,Honeywell
00:50:C2:D9:6,CONTEC GmbH
00:50:C2:D9:7,ERS electronic GmbH
00:50:C2:D9:8,Rong Shun Xuan Corp.
00:50:C2:D9:9,"T-Industry, s.r.o."
00:50:C2:D9:A,Saia-Burgess Controls AG
00:50:C2:D9:B,"Intuitive Surgical, Inc"
00:50:C2:D9:C,Gamber Johnson LLC
00:50:C2:D9:D,Mistral Solutions Pvt. Ltd
00:50:C2:D9:E,Vocality International Ltd
00:50:C2:D9:F,BitWise Controls
